angle_deg,d_sigma_dOmega
0.0,2860.479545691262
0.5128205128205128,6.714920026643076
1.0256410256410255,5.540104898494247
1.5384615384615383,4.677086611162069
2.051282051282051,1.9589891153489398
2.564102564102564,2.061029983500466
3.0769230769230766,2.5194403559239764
3.5897435897435894,0.6719763905997272
4.102564102564102,1.0378323635956523
4.615384615384615,0.6634358157359604
5.128205128205128,0.36024710780277985
5.6410256410256405,0.5483632752337784
6.153846153846153,0.30279361410546274
6.666666666666666,0.1869745925983479
7.179487179487179,0.6095073340308055
7.692307692307692,0.3259502788398627
8.205128205128204,0.2297450600060132
8.717948717948717,0.28895370646390717
9.23076923076923,0.2734662275964117
9.743589743589743,0.25957423782614586
10.256410256410255,0.061761066284470326
10.769230769230768,0.1767647061795869
11.282051282051281,0.3943520300044802
11.794871794871794,0.323831757439068
12.307692307692307,0.20720925336937338
12.82051282051282,0.09960839764109163
13.333333333333332,0.23979100488132216
13.846153846153845,0.23123864465627347
14.358974358974358,0.04465852049600018
14.87179487179487,0.08635649495522045
15.384615384615383,0.12538859589642937
15.897435897435896,0.2430181380418074
16.41025641025641,0.11787156199840018
16.92307692307692,0.03815147089776958
17.435897435897434,0.1483179611941346
17.94871794871795,0.14427565937511966
18.46153846153846,0.10534410403054989
18.97435897435897,0.0684246893308367
19.487179487179485,0.10007342357463604
